Datum,Tijd,Temperatuur,Luchtvochtigheid
21-8-2019,12,24.2,57.1
21-8-2019,18,21.5,52.9
22-8-2019,0,19.7,58.3
22-8-2019,6,19.7,55.9
22-8-2019,12,20.8,55.5
22-8-2019,18,22,54.3
23-8-2019,0,20.6,61.9
23-8-2019,6,21.2,57.5
23-8-2019,12,21.4,53.6
23-8-2019,18,22.6,52.8
24-8-2019,0,22.3,52
24-8-2019,6,21.2,53.5
24-8-2019,12,22.7,54.3
24-8-2019,18,23.9,52.8
25-8-2019,0,22.9,57.7
25-8-2019,6,23,52.3
25-8-2019,12,23.8,56.8
25-8-2019,18,25.2,57.6
26-8-2019,0,25.5,55.4
26-8-2019,6,25.1,55.4
26-8-2019,12,25.7,57.9
26-8-2019,18,26.9,59.6
27-8-2019,0,27.2,58.4
27-8-2019,6,26.7,57.9
27-8-2019,12,27.2,58.4
27-8-2019,18,28.2,58.4
28-8-2019,0,28,57.2
28-8-2019,6,27.5,56.6
28-8-2019,12,27.3,53.9
28-8-2019,18,28.2,53
29-8-2019,0,27.9,56.4
29-8-2019,6,27.1,55.4
29-8-2019,12,26.6,54.7
29-8-2019,18,26.8,49.4
30-8-2019,0,26.1,51.6
30-8-2019,6,25,51
30-8-2019,12,24.7,51
30-8-2019,18,25.6,46.8
31-8-2019,0,25.3,50.3
31-8-2019,6,24.5,50.6
31-8-2019,12,24.6,51.9
31-8-2019,18,25.8,49.4
1-9-2019,0,23.5,61.9
1-9-2019,6,23.8,57.3
1-9-2019,12,20.3,54.1
1-9-2019,18,22.7,44.9
2-9-2019,0,21.3,48.2
2-9-2019,6,20.8,49.9
2-9-2019,12,19.2,51.9
2-9-2019,18,22.1,44.7
3-9-2019,0,19.9,49.1
3-9-2019,6,20.6,52.8
3-9-2019,12,20.5,60.3
3-9-2019,18,21.1,55.1
4-9-2019,0,21.2,54.4
4-9-2019,6,20.9,57.4
4-9-2019,12,21,57.1
4-9-2019,18,20.7,64.7
5-9-2019,0,20.7,61.6
5-9-2019,6,19.1,61.8
5-9-2019,12,19.6,78.3
5-9-2019,18,19.3,80.6
6-9-2019,0,19.2,81.3
6-9-2019,6,19,81.7
6-9-2019,12,18.8,82
6-9-2019,18,18.8,81.9
7-9-2019,0,18.7,82.1
7-9-2019,6,18.6,82.6
7-9-2019,12,18.5,83
7-9-2019,18,18.6,82.8
8-9-2019,0,18.5,83.4
8-9-2019,6,18.4,83.7
8-9-2019,12,18.4,84
8-9-2019,18,18.4,83.7
9-9-2019,0,18.3,83.8
9-9-2019,6,18.2,84
9-9-2019,12,18.1,84.1
9-9-2019,18,18.2,84.4
10-9-2019,0,18.1,84.6
10-9-2019,6,18,84.7
10-9-2019,12,17.9,85
10-9-2019,18,18,85.1
11-9-2019,0,18,85.2
11-9-2019,6,17.9,85.2
11-9-2019,12,17.8,85.6
11-9-2019,18,17.8,85.8
12-9-2019,0,17.7,85.9
12-9-2019,6,17.7,86.1
12-9-2019,12,17.7,86.5
12-9-2019,18,17.8,86.5
13-9-2019,0,17.9,86.5
13-9-2019,6,17.9,86.6
13-9-2019,12,17.9,86.7
13-9-2019,18,18,86.6
14-9-2019,0,18,86.5
14-9-2019,6,17.9,86.4
14-9-2019,12,17.9,86.2
14-9-2019,18,18,86.3
15-9-2019,0,18,86.2
15-9-2019,6,17.9,86.2
15-9-2019,12,17.9,85.4
15-9-2019,18,18,84.8
16-9-2019,0,18.1,85.7
16-9-2019,6,18.1,85.9
16-9-2019,12,18.1,86
16-9-2019,18,18.1,86.2
17-9-2019,0,18,86.4
17-9-2019,6,17.9,86.4
17-9-2019,12,17.8,86.6
17-9-2019,18,17.7,86.4
18-9-2019,0,17.7,86.4
18-9-2019,6,17.5,86.5
18-9-2019,12,17.3,86.6
18-9-2019,18,17.3,86.2
19-9-2019,0,17.3,86.4
19-9-2019,6,17.1,86.6
19-9-2019,12,17,86.7
19-9-2019,18,17,86.4
20-9-2019,0,17,86.6
20-9-2019,6,16.8,86.6
20-9-2019,12,16.7,86.6
20-9-2019,18,16.8,86.9
21-9-2019,0,16.8,86.9
21-9-2019,6,16.7,86.5
21-9-2019,12,16.6,86.3
21-9-2019,18,16.7,85.1
22-9-2019,0,16.8,85.9
22-9-2019,6,16.8,86.2
22-9-2019,12,16.9,86.3
22-9-2019,18,17.1,85.2
23-9-2019,0,17.2,86.1
23-9-2019,6,17.3,86.5
23-9-2019,12,17.3,86.8
23-9-2019,18,17.4,86.7
24-9-2019,0,17.5,86.9
24-9-2019,6,17.5,87
24-9-2019,12,17.5,86.9
24-9-2019,18,17.5,86.9
25-9-2019,0,17.5,87.1
25-9-2019,6,17.5,87.4
25-9-2019,12,17.4,87.5
25-9-2019,18,17.4,87.5
26-9-2019,0,17.4,87.5
26-9-2019,6,17.4,87.6
26-9-2019,12,17.4,87.6
26-9-2019,18,17.4,87.9
